country,industry,funding,team_size,experience,revenue,burn_rate,market_size,product_stage,investors,competition,growth_rate,success
India,SaaS,800000,14,7,240000,42000,90000000,MVP,3,52,38,1
United States,Fintech,4000000,38,12,1600000,180000,420000000,Growth,6,70,82,1
United Kingdom,Healthtech,250000,7,4,20000,35000,160000000,Idea,1,44,8,0
Singapore,E-commerce,1200000,22,8,620000,76000,140000000,Early Revenue,4,77,48,1
Germany,Climate tech,3400000,31,11,920000,140000,510000000,Growth,5,39,63,1
Canada,Edtech,180000,6,3,12000,27000,70000000,MVP,1,66,5,0
India,AI / ML,650000,11,9,180000,38000,230000000,Early Revenue,2,58,41,1
United States,Consumer,90000,5,2,4000,24000,60000000,Idea,0,88,-4,0
United Kingdom,SaaS,1750000,19,10,780000,85000,190000000,Growth,4,46,72,1
Singapore,Fintech,420000,9,5,95000,47000,210000000,MVP,2,73,19,0
Germany,E-commerce,680000,15,6,310000,62000,120000000,Early Revenue,2,84,28,0
Canada,Healthtech,5200000,44,15,2100000,210000,620000000,Scale,8,42,96,1
India,Edtech,120000,8,4,18000,22000,85000000,MVP,1,61,12,0
United States,AI / ML,7500000,52,14,3200000,280000,900000000,Scale,9,68,110,1
United Kingdom,Climate tech,890000,13,7,260000,51000,480000000,Early Revenue,3,35,46,1
Singapore,SaaS,310000,8,3,47000,32000,110000000,MVP,1,79,15,0
Germany,Fintech,2200000,28,10,990000,110000,350000000,Growth,5,64,58,1
Canada,Consumer,160000,7,4,11000,29000,55000000,Idea,1,91,-8,0
India,E-commerce,980000,24,8,540000,81000,180000000,Early Revenue,3,72,37,1
United States,Healthtech,380000,10,6,62000,54000,270000000,MVP,2,49,16,0
United Kingdom,Edtech,640000,16,9,280000,48000,135000000,Early Revenue,3,54,43,1
Singapore,AI / ML,2600000,27,11,1200000,125000,450000000,Growth,6,62,76,1
Germany,SaaS,140000,5,2,9000,26000,65000000,Idea,0,81,2,0
Canada,Fintech,1100000,18,7,430000,74000,290000000,Early Revenue,4,69,35,1
India,Climate tech,210000,9,5,28000,31000,310000000,MVP,1,47,17,0
United States,E-commerce,6200000,61,16,4100000,390000,780000000,Scale,10,76,89,1
United Kingdom,Consumer,290000,11,5,36000,44000,95000000,MVP,2,86,9,0
Singapore,Healthtech,1450000,21,9,710000,92000,380000000,Growth,4,45,61,1
Germany,Edtech,330000,10,4,51000,39000,125000000,MVP,1,59,21,0
Canada,AI / ML,1850000,23,12,860000,97000,530000000,Growth,5,56,69,1

